Male_parent,Female_parent,Replicate,White_Phenotype,Fluorescence,Number
VasaGD/w+,w+/w+,1,White Eyes,DsRed positive,16
VasaGD/w+,w+/w+,1,Red Eyes,DsRed positive,467
VasaGD/w+,w+/w+,1,Mosaic Eyes,DsRed positive,25
VasaGD/w+,w+/w+,1,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,1,Red Eyes,DsRed negative,220
VasaGD/w+,w+/w+,1,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,2,White Eyes,DsRed positive,3
VasaGD/w+,w+/w+,2,Red Eyes,DsRed positive,262
VasaGD/w+,w+/w+,2,Mosaic Eyes,DsRed positive,13
VasaGD/w+,w+/w+,2,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,2,Red Eyes,DsRed negative,135
VasaGD/w+,w+/w+,2,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,3,White Eyes,DsRed positive,10
VasaGD/w+,w+/w+,3,Red Eyes,DsRed positive,154
VasaGD/w+,w+/w+,3,Mosaic Eyes,DsRed positive,8
VasaGD/w+,w+/w+,3,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,3,Red Eyes,DsRed negative,75
VasaGD/w+,w+/w+,3,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,4,White Eyes,DsRed positive,11
VasaGD/w+,w+/w+,4,Red Eyes,DsRed positive,226
VasaGD/w+,w+/w+,4,Mosaic Eyes,DsRed positive,31
VasaGD/w+,w+/w+,4,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,4,Red Eyes,DsRed negative,80
VasaGD/w+,w+/w+,4,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,5,White Eyes,DsRed positive,7
VasaGD/w+,w+/w+,5,Red Eyes,DsRed positive,332
VasaGD/w+,w+/w+,5,Mosaic Eyes,DsRed positive,13
VasaGD/w+,w+/w+,5,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,5,Red Eyes,DsRed negative,119
VasaGD/w+,w+/w+,5,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,6,White Eyes,DsRed positive,2
VasaGD/w+,w+/w+,6,Red Eyes,DsRed positive,225
VasaGD/w+,w+/w+,6,Mosaic Eyes,DsRed positive,18
VasaGD/w+,w+/w+,6,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,6,Red Eyes,DsRed negative,91
VasaGD/w+,w+/w+,6,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,7,White Eyes,DsRed positive,7
VasaGD/w+,w+/w+,7,Red Eyes,DsRed positive,323
VasaGD/w+,w+/w+,7,Mosaic Eyes,DsRed positive,16
VasaGD/w+,w+/w+,7,White Eyes,DsRed negative,1
VasaGD/w+,w+/w+,7,Red Eyes,DsRed negative,200
VasaGD/w+,w+/w+,7,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,8,White Eyes,DsRed positive,3
VasaGD/w+,w+/w+,8,Red Eyes,DsRed positive,240
VasaGD/w+,w+/w+,8,Mosaic Eyes,DsRed positive,12
VasaGD/w+,w+/w+,8,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,8,Red Eyes,DsRed negative,75
VasaGD/w+,w+/w+,8,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,9,White Eyes,DsRed positive,12
VasaGD/w+,w+/w+,9,Red Eyes,DsRed positive,175
